key	comment	fr	en	es	ab	zh	ru	hy	bg	pt	cs	de	et	fa	fi	he	it	ja	ko	hu	nl	pl	ro	sr	sk	sl	sv	uk
loading_project	Google translate used except for 'fr' and 'en'	Chargement du projet ...	Loading project ...	Cargando proyecto...	جارٍ تحميل المشروع...	正在加载项目...	Загрузка проекта...	Նախագիծը բեռնվում է...	Зареждане на проекта...	Carregando projeto...	Načítání projektu...	Projekt wird geladen ...	Projekti laadimine ...	در حال بارگیری پروژه ...	Ladataan projektia...	טוען פרויקט...	Caricamento progetto...	プロジェクトをロードしています...	프로젝트 로드 중...	Projekt betöltése...	Project laden...	Ładowanie projektu...	Se încarcă proiectul...	Учитавање пројекта...	Načítava sa projekt...	Nalaganje projekta ...	Laddar projekt...	Завантаження проекту...
loading_project_component	Google translate used except for 'fr' and 'en'	Chargement du composant <b>{0}</b> "{1}"	Loading of component <b>{0}</b> "{1}"	Cargando componente <b>{0}</b> "{1}"	تحميل المكون <b>{0}</b> "{1}"	加载组件 <b>{0}</b>“{1}”	Загрузка компонента <b>{0}</b> "{1}"	<b>{0}</b> «{1}» բաղադրիչի բեռնում	Зареждане на компонент <b>{0}</b> „{1}“	"Carregando o componente <b>{0}</b> "{1}"	Načítání komponenty <b>{0}</b> „{1}“	Laden der Komponente <b>{0}</b> „{1}“	Komponendi <b>{0}</b> "{1}" laadimine	بارگیری مؤلفه <b>{0}</b> "{1}"	Ladataan komponenttia <b>{0}</b> "{1}"	טעינת רכיב <b>{0}</b> "{1}"	Caricamento del componente <b>{0}</b> "{1}"	コンポーネント <b>{0}</b> "{1}" の読み込み中	구성요소 <b>{0}</b> "{1}" 로드 중	A(z) <b>{0}</b> "{1}" komponens betöltése	Laden van component <b>{0}</b> "{1}"	Ładowanie komponentu <b>{0}</b> „{1}”	Se încarcă componenta <b>{0}</b> „{1}”	Учитавање компоненте <б>{0}</б> „{1}“	Načítava sa komponent <b>{0}</b> „{1}“	Nalaganje komponente <b>{0}</b> "{1}"	Laddar komponent <b>{0}</b> "{1}"	Завантаження компонента <b>{0}</b> "{1}"
importing	Google translate used except for 'fr' and 'en'	Importation...	Importing...	Importador...	جارٍ الاستيراد...	输入...	Импорт...	Ներմուծում...	Импортиране...	Importando...	Import...	Importieren...	Importimine...	واردات...	Tuodaan...	מייבא...	Importazione...	インポート中...	가져오는 중...	Importálás...	Importeren...	Importowanie...	Se importă...	Увоз...	Importuje sa...	Uvažanje ...	Importerar...	Імпорт...
error_opening_project		Une erreur est survenue lors de l'ouverture du projet	An error occured while opening the project	Problema al abrir el archivo	مشكلة في فتح الملف	打开文件出错	Проблема с открытием файла	Ֆայլը բացելու խնդիր	Проблем при отваряне на файла	Erro ao abrir o arquivo	Problém s otevřením souboru	Problem beim Öffnen der Datei	Probleem faili avamisel	مشکل در باز کردن فایل	Ongelma tiedoston avaamisessa	בעיה בפתיחת הקובץ	Problema di apertura del file	ファイルを開く際に発生した問題	파일 열기 문제	Probléma a fájl megnyitásával	Probleem met het openen van het bestand	Problem z otwarciem pliku	Problemă la deschiderea fișierului	Проблем при отварању датотеке	Problém s otvorením súboru	Težava pri odpiranju datoteke	Problem med att öppna filen	Проблема з відкриттям файлу
change_language		Changer de langue	Change language	Idioma	لغة	语言	Язык	Լեզու	Език	Idioma	Jazyk	Sprache	Keel	زبان	Kieli	שפה	Lingua	言語	언어	Nyelv	Taal	Język	Limba	Језик	Jazyk	Jezik	Språk	Мова
file		Fichier	File	Archivo	ملف	文件	Файл	Ֆայլ	Файл	Arquivo	Soubor	Datei	Faili	فایل	Tiedosto	קוֹבֶץ	File	ファイル	파일	Fájl	Bestand	Plik	Fișier	Филе	Súbor	Datoteka	Fil	Файл
components	Google translate used except for 'fr' and 'en'	Composants	Components	Componentes	عناصر	成分	Компоненты	Բաղադրիչներ	Компоненти	Componentes	Komponenty	Komponenten	Komponendid	اجزاء	Komponentit	רכיבים	Componenti	コンポーネント	구성요소	Alkatrészek	Componenten	składniki	Componente	Компоненте	Komponenty	Komponente	Komponenter	компоненти
options		Options	Options	Opciones	خيارات	选项	Опции	Ընտրանքներ	Предпочитания	Opções	Možnosti	Optionen	Valikud	گزینه ها	Vaihtoehdot	אפשרויות	Opzioni	オプション	옵션	Beállítások	Opties	Opcje	Opțiuni	Опције	Možnosti	Možnosti	Alternativ	Параметри
help		Aide	Help	Ayuda	مساعدة	帮助	Помощь	Օգնություն	Помощ	Ajuda	Pomoc	Hilfe	Abi	کمک	Ohje	עֶזרָה	Aiuto	ヘルプ	도움말	Súgó	Help	Pomoc	Ajutor	Помоћ	Pomoc	Pomoč	Hjälp	Допомога
about		À propos	About	Acerca de	حول	关于	О	Մասին	Относно	Sobre	O	Über	Umbes	درباره	Tietoja	אודות	Informazioni	本ソフトについて	정보	A programról	Over	Informacje o	Despre	О томе	O programe	O	Om	Про компанію
open_project		Ouvrir un projet...	Open project...	Abrir	فتح	打开	Открыть	Բաց	Отвори	Abrir	Otevřít	Öffnen	Avatud	باز کردن	Avaa	לִפְתוֹחַ	Apri	開く	열기	Megnyitás	Open	Otwórz	Deschideți	Отвори	Otvoriť	Odpri	Öppna	Відкрити
save_project_as		Enregistrer le projet sous...	Save project as...	Guardar como	حفظ باسم	另存为	Сохранить как	Պահպանել որպես	Запиши като	Salvar como	Uložit jako	Speichern unter	Salvesta kui	ذخیره به عنوان	Tallenna nimellä	שמור כ	Salva con nome	名前を付けて保存	다른 이름으로 저장	Mentés másként	Opslaan als	Zapisz jako	Salvați ca	Сачувај као	Uložiť ako	Shrani kot	Spara som	Зберегти як
save_project		Enregistrer le projet	Save project	Guardar	يحفظ	保存	Сохранить	Պահպանել	Запиши	Salvar	Uložit	Speichern	Salvesta	ذخیره کردن	Tallenna	לשמור	Salva	保存	저장	Mentés	Opslaan	Zapisz	Salvați	сачувати	Uložiť	Shrani	Spara	Зберегти
close_project	Google translate used except for 'fr' and 'en'	Fermer le projet	Close project	Cerrar proyecto	إغلاق المشروع	关闭项目	Закрыть проект	Փակել նախագիծը	Затваряне на проекта	Fechar projeto	Zavřít projekt	Projekt schließen	Sule projekt	بستن پروژه	Sulje projekti	סגור פרויקט	Chiudi progetto	プロジェクトを閉じる	프로젝트 닫기	Projekt bezárása	Project afsluiten	Zamknij projekt	Închide proiectul	Затвори пројекат	Zavrieť projekt	Zapri projekt	Stäng projekt	Закрити проект
exit		Quitter	Exit	Salir	يترك	退出	Выйти	Դուրս գալ	Излез	Sair	Odejít	Beenden	Lõpeta	خروج	Lopeta	לְהַפְסִיק	Esci	終了する	종료	Kilépés	Afsluiten	Zakończ	Renunță la	Одустати	Ukončiť	Končaj	Avsluta	Вийти
select_file_to_import	Google translate used except for 'fr' and 'en'	Sélectionner un fichier à importer	Select file to import	Seleccione el archivo para importar	حدد ملفًا لاستيراده	选择要导入的文件	Выберите файл для импорта	Ընտրեք ֆայլ ներմուծման համար	Изберете файл за импортиране	Selecione o arquivo para importar	Vyberte soubor k importu	Wählen Sie die zu importierende Datei aus	Valige importimiseks fail	فایل را برای وارد کردن انتخاب کنید	Valitse tuotava tiedosto	בחר קובץ לייבוא	Seleziona il file da importare	インポートするファイルを選択してください	가져올 파일 선택	Válassza ki az importálni kívánt fájlt	Selecteer bestand om te importeren	Wybierz plik do zaimportowania	Selectați fișierul de importat	Изаберите датотеку за увоз	Vyberte súbor na import	Izberite datoteko za uvoz	Välj fil att importera	Виберіть файл для імпорту
browse		Parcourir...	Browse...	Navegar	تصفح	浏览	Просмотреть	Թերթիր	Прегледай	Navegar	Procházet	Durchsuchen	Sirvi	مسیر فایل	Selaa	לְדַפדֵף	Sfoglia	閲覧	검색	Böngészés	Bladeren op	Przeglądaj	Răsfoiți	Прегледај	Prehľadávať	Brskanje po	Bläddra på	Огляд
select_data_text_file	Google translate used except for 'fr' and 'en'	Sélectionner un fichier text de données	Select data text file	Seleccionar archivo de texto de datos	حدد ملف نصي للبيانات	选择数据文本文件	Выберите текстовый файл данных	Ընտրեք տվյալների տեքստային ֆայլ	Изберете текстов файл с данни	Selecione o arquivo de texto de dados	Vyberte datový textový soubor	Datentextdatei auswählen	Valige andmete tekstifail	فایل متنی داده را انتخاب کنید	Valitse datatekstitiedosto	בחר קובץ טקסט נתונים	Seleziona il file di testo dei dati	データテキストファイルを選択	데이터 텍스트 파일 선택	Válassza ki a szöveges adatfájlt	Selecteer gegevenstekstbestand	Wybierz plik tekstowy z danymi	Selectați fișierul text de date	Изаберите текстуалну датотеку са подацима	Vyberte dátový textový súbor	Izberite podatkovno besedilno datoteko	Välj datatextfil	Виберіть текстовий файл даних
import	Google translate used except for 'fr' and 'en'	Importer	Import	Importar	يستورد	进口	Импортировать	Ներմուծում	Импортиране	Importar	Import	Importieren	Import	وارد كردن	Tuonti	יְבוּא	Importare	輸入	수입	Importálás	Importeren	Import	Import	Увоз	Importovať	Uvozi	Importera	Імпорт
export_mcmc		Exporter les simulations MCMC	Export MCMC simulation	Exportar MCMC simulaciones	تصدير عمليات محاكاة MCMC	导出MCMC模拟	Экспортировать симуляции MCMC	Արտահանել MCMC մոդելավորում	Експортирай симулации по МСМС	Exportar MCMC simulações	Exportujte simulace MCMC	MCMC-Simulationen exportieren	MCMC simulatsioonide eksportimine	ارسال شبیه سازی های MCMC 	Vie MCMC-simulaatiot	ייצוא סימולציות MCMC	Esporta le simulazioni MCMC	MCMCシミュレーション結果のエクスポート	MCMC 시뮬레이션 내보내기	MCMC-szimulációk exportálása	Exporteer MCMC simulaties	Eksportuj symulacje MCMC	Exportați simulările MCMC	Извези МЦМЦ симулације	Exportovať simulácie MCMC	Izvozite simulacije MCMC	Exportera MCMC-simuleringar	Експортувати симуляції MCMC
choose_structural_error_model_type	Google translate used except for 'fr' and 'en'	Choisissez le type de modèle d'erreur structurelle	Choose the type of structural error model	Elija el tipo de modelo de error estructural	اختر نوع نموذج الخطأ الهيكلي	选择结构误差模型的类型	Выберите тип модели структурных ошибок	Ընտրեք կառուցվածքային սխալի մոդելի տեսակը	Изберете типа модел на структурна грешка	Escolha o tipo de modelo de erro estrutural	Vyberte typ modelu strukturální chyby	Wählen Sie den Typ des Strukturfehlermodells	Valige struktuurse vea mudeli tüüp	نوع مدل خطای ساختاری را انتخاب کنید	Valitse rakennevirhemallin tyyppi	בחר את סוג מודל השגיאה המבנית	Scegli il tipo di modello di errore strutturale	構造エラーモデルのタイプを選択してください	구조적 오류 모델 유형 선택	Válassza ki a szerkezeti hibamodell típusát	Kies het type structurele foutmodel	Wybierz typ modelu błędu strukturalnego	Alegeți tipul de model de eroare structurală	Изаберите тип модела структуралне грешке	Vyberte typ modelu štrukturálnej chyby	Izberite vrsto modela strukturne napake	Välj typ av strukturell felmodell	Виберіть тип моделі структурної помилки
create_baratin_project		Nouveau projet BaRatin	New BaRatin project	Nuevo	جديد	新建	Новый	Նոր	Нов	Novo	Nový	Neu	Uus	جدید	Uusi	חָדָשׁ	Nuovo	新規作成	새 작업	Új	Nieuw	Nowy	Nou	Нова	Nový	Novo	Ny	Новий
create_rating_curve		Créer une nouvelle courbe de tarage	Create new rating curve	Añadir una curva de gasto	أضف منحنى التصنيف	添加水位流量曲线	Добавить калибровочную кривую	Ավելացնել վարկանիշի կորը	Добави ключова крива	Adicionar curva chave	Přidejte měrnou křivku	Abflusskurve hinzufügen	Lisada reitingukõver	اضافه کردن منحنی سنجه	Lisää purkautumiskäyrä	הוסף עקומת התאמה	Aggiungi una scala di deflusso	水位流量曲線の追加	수위유량곡선 추가	Vízhozamgörbe hozzáadása	Voeg ratingcurve toe	Dodaj krzywą przepływu	Adăugați cheia limnimetrică	Додајте криву оцене	Pridať mernú krivku	Dodaj pretočno krivuljo	Lägg till betygskurva.	Додати номінальну криву
create_limnigraph		Créer un nouveau limnigramme	Create new limnigraph	Añadir un limnigrama	أضف سلسلة المسرح	添加水位过程序列	Добавить серию этапов	Ավելացնել բեմական շարք	Добави редица водни стоежи	Adicionar série de cotas	Přidejte datovou sadu vodních stavů	Wasserstandsganglinie hinzufügen	Lisada staadiumiseeriad	اضافه کردن سری اشل	Lisää vedenkorkeussarja	הוסף סדרת רומים	Aggiungi una serie di livello idrometrico	水位ハイドログラフの追加	수위 계열 추가	Vízállások hozzáadása	Stapreeksen toevoegen	Dodaj hydrogram stanu wody	Adăugați hidrograful de niveluri	Додајте сценску серију	Pridajte sériu vodných stavov	Dodaj nivogram	Lägg till stegserier	Додати серію ступенів
create_hydrograph		Créer un nouvel hydrogramme	Create new hydrograph	Añadir un hidrograma	أضف سلسلة التدفق	添加流量过程	Добавить серию расхода	Ավելացնել հոսքի շարք	Добави редица водни количества	Adicionar hidrograma	Přidejte průtokovou řadu	Eine Abflussganglinie hinzufügen	Vooluseeriate lisamine	اضافه کردن سری جریان	Lisää virtaamasarja	הוסף סדרת זרימה	Aggiungi un idrogramma	流量ハイドログラフの追加	유량 계열 추가	Vízhozam értékek hozzáadása	Debietreeksen toevoegen	Dodaj hydrogram przepływów	Adăugați hidrograful de debite	Додајте серију протока	Pridať sériu prietokov	Dodaj hidrogram	Lägg till flödesserie	Додати серію потоку
create_structural_error_model	"remnant error"" should now be called  ""structural error"	Créer un nouveau modèle d'erreur structurelle	Create new structural error model	Añadir un modelo de error	أضف نموذج الخطأ	添加误差估算模型	Добавить модель ошибок	Ավելացնել սխալի մոդել	Добави модел на грешката	Adicionar modelo de erro	Přidat model chyby	Fehlermodell hinzufügen	Lisage veamudel	اضافه کردن مدل خطا	Lisää virhemalli	הוסף מודל שגיאה	Aggiungi un modello di errore	誤差モデルの追加	오류 모델 추가	Hibamodell hozzáadása	Voeg foutmodel toe	Dodaj model błędu	Adăugați modelul de eroare	Додајте модел грешке	Pridať model chyby	Dodaj model napak	Lägg till felmodell	Додати модель похибки
create_gaugings		Créer un nouveau jeu de jaugeage	Create new gauging set	Añadir un conjunto de aforos	أضف مجموعة بيانات القياس	添加测量数据	Добавить набор данных измерений	Ավելացնել չափիչ տվյալների հավաքածու	Добави група данни от измервания	Adicionar conjunto de medições	Přidejte datovou sadu průtoku a vodních stavů	Ein Set von Messungen hinzufügen	Lisa mõõtmisandmestik	اضافه کردن داده های اندازه گیری شده (ایستگاهها) 	Lisää mittausdatasetit	הוסף מערך נתונים למדידה	Aggiungi un dataset di misure di portata e livello	Gausing (水位・流量データ) の追加	관측 자료 추가	Mérési adatkészlet hozzáadása	Voeg meetgegevensverzameling toe	Dodaj zestaw danych pomiarowych	Adăugați setul de date  măsurate	Додајте скуп података за мерење	Pridať súbor údajov o meraní	Dodaj podatke meritev	Lägg till mätdata	Додати набір даних вимірювань
create_hydraulic_config		Créer une nouvelle configuration hydraulique	Create new hydraulic configuration	Añadir una configuración hidráulica	أضف التكوين الهيدروليكي	添加水力参数配置	Добавить гидравлическую конфигурацию	Ավելացնել հիդրավլիկ կոնֆիգուրացիա	Добави хидравлична конфигурация	Adicionar configuração hidráulica	Přidejte hydraulickou konfiguraci	Hydraulische Konfiguration hinzufügen	Lisa hüdrauliline konfiguratsioon	اضافه کردن پیکربندی هیدرولیک	Lisää hydraulinen konfiguraatio	הוסף תצורה הידראולית	Aggiungi una configurazione idraulica	水理学的条件を追加	수리 조건 추가	Hidraulikus konfiguráció hozzáadása	Hydraulische configuratie toevoegen	Dodaj konfigurację hydrauliczną	Adăugați configurația hidraulică	Додајте хидрауличку конфигурацију	Pridať hydraulickú konfiguráciu	Dodaj hidravlične nastavitve	Lägg till hydraulisk konfiguration	Додати гідравлічну конфігурацію
import_gauging_set	Google translate used except for 'fr' and 'en'	Importer un jeu de jaugeages	Import a gauging set	Importar un conjunto de calibres	استيراد مجموعة قياس	导入测量组	Импорт набора измерений	Ներմուծեք չափիչ հավաքածու	Импортирайте комплект за измерване	Importar um conjunto de medições	Importujte sadu měření	Importieren Sie einen Messsatz	Importige mõõtekomplekt	یک مجموعه اندازه گیری وارد کنید	Tuo mittaussarja	ייבוא סט מדידה	Importa un set di misurazione	ゲージセットのインポート	측정 세트 가져오기	Importáljon egy mérőkészletet	Importeer een meetset	Zaimportuj zestaw mierników	Importați un set de măsurare	Увезите сет за мерење	Importujte meraciu súpravu	Uvoz merilnega nabora	Importera ett mätset	Імпортуйте вимірювальний набір
import_limnigraph	Google translate used except for 'fr' and 'en'	Importer un limnigramme	Import a limnigraph	Importar un limnígrafo	قم باستيراد مخطط الخطوط	导入湖泊图	Импортировать лимниграф	Ներմուծեք լիմնիգրաֆ	Импортирайте лимниграф	Importe um limnigrafo	Importujte limnigraf	Importieren Sie einen Limnigraphen	Importige limnigraaf	یک لیمنیگراف وارد کنید	Tuo limnigrafi	ייבוא לימניגרף	Importa un limnigrafo	リムニグラフをインポートする	림니그래프 가져오기	Importáljon limnigráfot	Importeer een limnigrafie	Zaimportuj limnigraf	Importați un limnigraf	Увезите лимниграф	Importujte limnigraf	Uvozite limnigraf	Importera en limnigraf	Імпорт лімніграфа
delete_last_control	Google translate used except for 'fr' and 'en'	Supprimer le dernier contrôle ({0})	Delete last control ({0})	Eliminar el último control ({0})	حذف عنصر التحكم الأخير ({0})	删除最后一个控件 ({0})	Удалить последний элемент управления ({0})	Ջնջել վերջին կառավարումը ({0})	Изтриване на последната контрола ({0})	Excluir o último controle ({0})	Smazat poslední ovládací prvek ({0})	Letztes Steuerelement löschen ({0})	Kustuta viimane juhtelement ({0})	حذف آخرین کنترل ({0})	Poista viimeinen ohjausobjekti ({0})	מחק את הפקד האחרון ({0})	Elimina l'ultimo controllo ({0})	最後のコントロール ({0}) を削除します	마지막 컨트롤 삭제({0})	Az utolsó vezérlőelem törlése ({0})	Laatste controle verwijderen ({0})	Usuń ostatnią kontrolkę ({0})	Ștergeți ultimul control ({0})	Избриши последњу контролу ({0})	Odstrániť posledný ovládací prvok ({0})	Izbriši zadnji kontrolnik ({0})	Ta bort senaste kontroll ({0})	Видалити останній елемент керування ({0})
add_control	Google translate used except for 'fr' and 'en'	Ajouter un contrôle ({0})	Add a control ({0})	Agregar un control ({0})	إضافة عنصر تحكم ({0})	添加控件 ({0})	Добавить элемент управления ({0})	Ավելացրեք վերահսկիչ ({0})	Добавяне на контрола ({0})	Adicione um controle ({0})	Přidat ovládací prvek ({0})	Ein Steuerelement hinzufügen ({0})	Lisa juhtelement ({0})	افزودن یک کنترل ({0})	Lisää ohjausobjekti ({0})	הוסף פקד ({0})	Aggiungi un controllo ({0})	コントロール ({0}) を追加します	컨트롤 추가({0})	Vezérlő hozzáadása ({0})	Een besturingselement toevoegen ({0})	Dodaj kontrolkę ({0})	Adăugați un control ({0})	Додајте контролу ({0})	Pridať ovládací prvok ({0})	Dodajte kontrolnik ({0})	Lägg till en kontroll ({0})	Додати елемент керування ({0})
invert_control_matrix	Google translate used except for 'fr' and 'en'	Inverser l'ordre des segments	Invert segments order	Invertir el orden de los segmentos	عكس ترتيب المقاطع	反转段顺序	Инвертировать порядок сегментов	Շրջել հատվածների հերթականությունը	Обърнете реда на сегментите	Inverter ordem dos segmentos	Invertovat pořadí segmentů	Segmentreihenfolge umkehren	Pöörake segmentide järjekorda	معکوس کردن ترتیب قطعات	Käänteinen segmenttien järjestys	הפוך סדר קטעים	Invertire l'ordine dei segmenti	セグメントの順序を反転する	세그먼트 순서 반전	A szegmensek sorrendjének megfordítása	Segmentvolgorde omkeren	Odwróć kolejność segmentów	Inversați ordinea segmentelor	Обрни редослед сегмената	Invertovať poradie segmentov	Obrni vrstni red segmentov	Invertera segmentsordning	Інвертувати порядок сегментів
compute_qt	Google translate used except for 'fr' and 'en'	Calculer l'hydrogramme	Compute hydrograph	Calcular hidrograma	حساب الهيدروغراف	计算过程线	Вычислить гидрограф	Հաշվարկային հիդրոգրաֆ	Изчислете хидрограф	Calcular hidrograma	Vypočítejte hydrograf	Berechnen Sie die Ganglinie	Arvutage hüdrograaf	محاسبه هیدروگراف	Laske hydrografi	מחשב הידרוגרפיה	Calcola l'idrogramma	ハイドログラフを計算する	수위도 계산	Számítsd ki a hidrográfiát	Bereken hydrograaf	Oblicz hydrograf	Calculați hidrograful	Израчунати хидрограф	Vypočítajte hydrograf	Izračunaj hidrogram	Beräkna hydrograf	Обчисліть гідрограф
recompute_qt	Google translate used except for 'fr' and 'en'	Re-calculer l'hydrogramme	Re-compute hydrograph	Recalcular el hidrograma	إعادة حساب الهيدروغراف	重新计算过程线	Пересчитать гидрограф	Կրկին հաշվարկեք հիդրոգրաֆը	Преизчислете хидрограмата	Recalcular hidrograma	Přepočítejte hydrograf	Ganglinie neu berechnen	Hüdrograafi ümberarvutamine	دوباره محاسبه هیدروگراف	Laske hydrografi uudelleen	מחשב מחדש הידרוגרפיה	Ricalcolare l'idrogramma	ハイドログラフを再計算する	수위도 다시 계산	Számítsa ki újra a hidrográfot	Bereken de hydrograaf opnieuw	Oblicz ponownie hydrograf	Recalculați hidrograful	Поново израчунај хидрограф	Prepočítajte hydrograf	Ponovno izračunaj hidrogram	Beräkna om hydrografen	Перерахуйте гідрограф
compute_posterior_rc	Google translate used except for 'fr' and 'en'	Calculer la courbe de tarage <i>a posteriori</i>	Compute <i>posterior</i>&nbsp; rating curve	Calcular <i>posterior</i>&nbsp; curva de calificación	حساب <i>الخلفي</i>&nbsp; منحنى التصنيف	计算<i>后验</i> 评级曲线	Вычислить <i>заднюю</i>&nbsp; кривая рейтинга	Հաշվել <i>հետին</i>&nbsp; վարկանիշի կորը	Изчислете <i>задно</i>&nbsp; рейтингова крива	Calcule <i>posterior</i>&nbsp; curva de classificação	Vypočítat <i>zadní</i>&nbsp; ratingová křivka	Berechnen Sie <i>posterior</i>&nbsp; Bewertungskurve	Arvutage <i>tagumine</i>&nbsp; reitingukõver	محاسبه <i>خلفی</i>&nbsp; منحنی رتبه بندی	Laske <i>posterior</i>&nbsp; luokituskäyrä	מחשב <i>אחורי</i>&nbsp; עקומת דירוג	Calcola <i>posteriore</i>&nbsp; curva di rating	<i>事後</i>を計算&nbsp; 評価曲線	<i>사후</i> 계산&nbsp; 등급 곡선	<i>utólagos</i> kiszámítása&nbsp; értékelési görbe	Bereken <i>posterior</i>&nbsp; beoordelingscurve	Oblicz <i>tylny</i>&nbsp; krzywa ratingowa	Calculează <i>posterior</i>&nbsp; curba de rating	Израчунај <и>задњи</и>&нбсп; крива рејтинга	Vypočítať <i>zadné</i>&nbsp; ratingová krivka	Izračunaj <i>zadaj</i>&nbsp; krivulja ocenjevanja	Beräkna <i>posterior</i>&nbsp; betygskurva	Обчислити <i>постеріор</i>&nbsp; рейтингова крива
recompute_posterior_rc	Google translate used except for 'fr' and 'en'	Re-calculer la courbe de tarage <i>a posteriori</i>	Re-compute <i>posterior</i>&nbsp; rating curve	Vuelva a calcular el valor <i>posterior</i>&nbsp; curva de calificación	إعادة حساب <i>الخلفي</i>&nbsp; منحنى التصنيف	重新计算<i>后验</i> 评级曲线	Пересчитать <i>заднюю</i>&nbsp; кривая рейтинга	Կրկին հաշվարկել <i>հետին</i>&nbsp; վարկանիշի կորը	Повторно изчисляване на <i>задна</i>&nbsp; рейтингова крива	Recalcular <i>posterior</i>&nbsp; curva de classificação	Přepočítat <i>zadní</i>&nbsp; ratingová křivka	<i>posterior</i>&nbsp; neu berechnen Bewertungskurve	Arvutage ümber <i>tagumine</i>&nbsp; reitingukõver	محاسبه مجدد <i>خلفی</i>&nbsp; منحنی رتبه بندی	Laske <i>takaosa</i> uudelleen&nbsp; luokituskäyrä	חישוב מחדש של <i>אחורי</i>&nbsp; עקומת דירוג	Ricalcola <i>posteriore</i>&nbsp; curva di rating	<i>事後</i>を再計算&nbsp; 評価曲線	<i>사후</i>를 다시 계산합니다.&nbsp; 등급 곡선	A <i>utólagos</i> újraszámítása&nbsp; értékelési görbe	Herbereken <i>posterior</i>&nbsp; beoordelingscurve	Oblicz ponownie <i>tylny</i>&nbsp; krzywa ratingowa	Recalculați <i>posterior</i>&nbsp; curba de rating	Поново израчунајте <и>постериорну</и>&нбсп; крива рејтинга	Prepočítať <i>zadné</i>&nbsp; ratingová krivka	Ponovno izračunajte <i>posterior</i>&nbsp; krivulja ocenjevanja	Beräkna om <i>posterior</i>&nbsp; betygskurva	Повторно обчислити <i>задню</i>&nbsp; рейтингова крива
compute_prior_rc	Google translate used except for 'fr' and 'en'	Calculer la courbe de tarage <i>a priori</i>	Compute <i>prior</i>&nbsp; rating curve	Calcular <i>antes</i>&nbsp; curva de calificación	حساب <i>سابق</i> &nbsp; منحنى التصنيف	计算<i>之前</i> &nbsp; 评级曲线	Вычислить <i>предшествующее</i>&nbsp; кривая рейтинга	Հաշվել <i>նախորդ</i>&nbsp; վարկանիշի կորը	Изчислете <i>преди</i>&nbsp; рейтингова крива	Calcule <i>anteriormente</i>&nbsp; curva de classificação	Vypočítat <i>předchozí</i>&nbsp; ratingová křivka	Berechnen Sie <i>prior</i>&nbsp; Bewertungskurve	Arvutage <i>eelmine</i>&nbsp; reitingukõver	محاسبه <i>قبل</i>&nbsp; منحنی رتبه بندی	Laske <i>aiemmin</i>&nbsp; luokituskäyrä	חישוב <i>קודם</i>&nbsp; עקומת דירוג	Calcola <i>prima</i>&nbsp; curva di rating	<i>以前</i>を計算&nbsp; 評価曲線	<i>사전</i> 계산&nbsp; 등급 곡선	Számítása <i>korábbi</i>&nbsp; értékelési görbe	Bereken <i>eerdere</i>&nbsp; beoordelingscurve	Oblicz <i>przed</i>&nbsp; krzywa ratingowa	Calculează <i>înainte</i>&nbsp; curba de rating	Израчунај <и>претходно</и>&нбсп; крива рејтинга	Vypočítať <i>predchádzajúcu</i>&nbsp; ratingová krivka	Izračunaj <i>prej</i>&nbsp; krivulja ocenjevanja	Beräkna <i>före</i>&nbsp; betygskurva	Обчислити <i>попередньо</i>&nbsp; рейтингова крива
recompute_prior_rc	Google translate used except for 'fr' and 'en'	Re-calculer la courbe de tarage <i>a priori</i>	Re-compute <i>prior</i>&nbsp; rating curve	Vuelva a calcular el valor <i>anterior</i>&nbsp; curva de calificación	إعادة حساب <i>السابق</i> &nbsp; منحنى التصنيف	重新计算<i>之前</i> 评级曲线	Пересчитать <i>предыдущее</i>&nbsp; кривая рейтинга	Կրկին հաշվարկել <i>նախորդ</i>&nbsp; վարկանիշի կորը	Повторно изчисляване на <i>предишни</i>&nbsp; рейтингова крива	Recalcular <i>anterior</i>&nbsp; curva de classificação	Přepočítat <i>předchozí</i>&nbsp; ratingová křivka	Berechnen Sie <i>vorherige</i>&nbsp; Bewertungskurve	Arvutage <i>eelmine</i> ümber&nbsp; reitingukõver	محاسبه مجدد <i>قبل</i>&nbsp; منحنی رتبه بندی	Laske <i>aiempi</i> uudelleen&nbsp; luokituskäyrä	חישוב מחדש <i>קודם</i>&nbsp; עקומת דירוג	Ricalcola <i>prima</i>&nbsp; curva di rating	<i>以前</i>を再計算します&nbsp; 評価曲線	<i>이전</i>을 다시 계산합니다&nbsp; 등급 곡선	<i>korábbi</i> újraszámítása&nbsp; értékelési görbe	Herbereken <i>eerdere</i>&nbsp; beoordelingscurve	Oblicz ponownie <i>wcześniej</i>&nbsp; krzywa ratingowa	Recalculați <i>anterior</i>&nbsp; curba de rating	Поново израчунај <и>претходни</и>&нбсп; крива рејтинга	Prepočítať <i>predchádzajúcu</i>&nbsp; ratingová krivka	Ponovno izračunaj <i>prejšnje</i>&nbsp; krivulja ocenjevanja	Beräkna om <i>före</i>&nbsp; betygskurva	Повторно обчислити <i>попереднє</i>&nbsp; рейтингова крива
